Fill,Fill Start,Fill End,Energy [GeV],Filling Scheme,Stable B. time [h],Turnaround time [h],Injection time [h],Ramp time [h],Particle B1,Particle B2,# Bunches B1,# Bunches B2,# Coll. IP 1/5,# Coll. IP 2,# Coll. IP 8,beta* IP 1 [m],beta* IP 5 [m],beta* IP 2 [m],beta* IP 8 [m],Xing Angle IP 1 [urad],Xing Angle IP 5 [urad],Xing Angle IP 2 [urad],Xing Angle IP 8 [urad],Spectrometer IP 2 [urad],Spectrometer IP 8 [urad],Intensity B1 [1e11 ppb],Intensity B2 [1e11 ppb],Bnch Len B1 [ns],Bnch Len B2 [ns],Emittance B1 H [um],Emittance B1 V [um],Emittance B2 H [um],Emittance B2 V [um],ATLAS Peak Lumi [Hz/ub],CMS Peak Lumi [Hz/ub],ALICE Peak Lumi [Hz/ub],LHCb Peak Lumi [Hz/ub],Lumi Lifetime Start [h],Lumi Lifetime End [h],ATLAS Int. Lumi [1/nb],CMS Int. Lumi [1/nb],ALICE Int. Lumi [1/nb],LHCb Int. Lumi [1/nb]
10392,1732051091000,1732088446000,6799.44,50ns_1240b_1032_1032_557_56bpi_PbPb,3.9144440000000000,2.712222000000000,1.5219440000000000,0.3552780000000000,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,-150,-210,,,0.19301299999999999,0.19702500000000001,0.00000000000000000000,0.00000000000000000000,2.708802000000000,2.3722249999999998,2.633786000000000,2.050675000000000,0.006479000000000000,0.006661000000000000,0.00649300000000000,0.001538000000000000,21954.460557999999,11594.654322000000,0.07307900000000001,0.07157500000000000,0.07571400000000000,0.017319999999999999
10391,1732039405000,1732051091000,6799.32,50ns_1240b_1032_1032_557_56bpi_PbPb,0.5163890000000000,5.1175,1.6047220000000000,0.35555599999999998,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,-150,-210,,,0.19228100000000001,0.1949600000000000,0.00000000000000000000,0.00000000000000000000,2.744697000000000,2.4640019999999998,2.6137619999999999,2.1059009999999998,0.0064370000000000000,0.006463000000000000,0.006476000000000000,0.0015230000000000000,1404.9668720000000,1404.9668720000000,0.011528999999999999,0.011055000000000001,0.011247000000000000,0.0027000000000000001
10390,1732037660000,1732039405000,3566.52,,0,0,0,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10389,1732030982000,1732037660000,1360.32,,0,0,0,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10388,1732000074000,1732030982000,6799.44,50ns_1240b_1032_1032_557_56bpi_PbPb,5.307778000000000,3.0355560000000001,1.753611000000000,0.3552780000000000,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,-150,-210,,,0.18875000000000000,0.1976830000000000,0.00000000000000000000,0.00000000000000000000,2.7178589999999998,2.207788000000000,2.648224000000000,1.9927330000000001,0.006464000000000000,0.006460000000000000,0.006517000000000000,0.001557000000000000,19883.494788000000,14413.8028710000,0.08472300000000001,0.0842920000000000,0.09117900000000000,0.021588000000000000
10387,1731970563000,1732000074000,6799.44,50ns_451b_338_338_320_56bpi_11inj_3INDIVs_800ns_bs100ns,2.4130560000000001,19.75888900000000,1.9425,0.35638900000000001,PB82,PB82,451,451,338,338,320,0.5,0.5,0.5,1.5,150,150,-150,-210,,,0.20633899999999999,0.19729700000000000,0.00000000000000000000,0.00000000000000000000,2.6279059999999999,2.32084700000000,2.673981000000000,2.029761000000000,0.0034139999999999999,0.0035829999999999998,0.0031830000000000001,0.0012630000000000000,12226.339039000000,12226.339039000000,0.020264000000000001,0.020251999999999999,0.006798000000000000,0.008104999999999999
10386,1731962284000,1731970563000,6799.32,,0,0,0.9072220000000000,0.355,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,0.00000000000000000000,0.00000000000000000000,1.4980720000000001,1.0147390000000001,1.511204000000000,0.9736350000000000,0.00003100000000000000,0.0000370000000000000,0.000025000000000000001,0.000009000000000000000,,,0,0,,0
10385,1731943901000,1731962284000,6799.44,,0,0,0.9208330000000000,0.35583300000000001,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,0.00000000000000000000,0.00000000000000000000,2.0537860000000001,1.4312920000000000,1.6857310000000001,1.3606879999999999,0.00006999999999999999,0.0000510000000000000,0.000033000000000000003,0.00008300000000000000,3455.8654230000002,3455.8654230000002,0,0,,0
10384,1731920838000,1731943901000,6799.32,,0,0,0.9205560000000000,0.355,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10383,1731895810000,1731920838000,6799.44,50ns_1240b_1032_1032_557_56bpi_PbPb,3.8177780000000001,2.9608330000000000,1.9719439999999999,0.3547220000000000,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,150,-210,,,0.19661400000000001,0.19705700000000001,0.00000000000000000000,0.00000000000000000000,2.7770670000000002,2.4157220000000001,2.730368000000000,2.0790600000000001,0.00648500000000000,0.006480000000000000,0.00665700000000000,0.0015590000000000001,21735.342957000001,11832.076211000000,0.07208800000000000,0.0704560000000000,0.07556599999999999,0.017843999999999999
10382,1731860191000,1731895810000,6799.44,50ns_1240b_1032_1032_557_56bpi_PbPb,7.214444000000000,2.6405560000000001,1.73,0.355,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,150,-210,,,0.1770110000000000,0.1788940000000000,0.00000000000000000000,0.0000000000000000000,2.66403500000000,2.335155000000000,2.705721000000000,2.067216000000000,0.006428000000000000,0.006484000000000000,0.006446000000000000,0.001556000000000000,12439.548349999999,19230.42551000000,0.09029600000000000,0.0874300000000000,0.09600400000000001,0.023779000000000002
10381,1731833999000,1731860191000,6799.44,50ns_1240b_1032_1032_557_56bpi_PbPb,2.97,4.276667000000000,1.6288890000000000,0.355,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,150,-210,,,0.17330999999999999,0.18222200000000000,0.00000000000000000000,0.0000000000000000000,2.5696270000000001,2.070238000000000,2.7051370000000001,1.9970530000000000,0.006457000000000000,0.0064720000000000003,0.006459000000000000,0.0015590000000000001,12729.314752000000,10843.96968400000,0.05589200000000000,0.0547420000000000,0.058770999999999997,0.013958999999999999
10380,1731813673000,1731833999000,6799.44,50ns_1240b_1032_1032_557_56bpi_PbPb,3.026667000000000,2.6875,1.3497220000000001,0.3552780000000000,PB82,PB82,920,808,712,488,208,0.5,0.5,0.5,1.5,150,150,150,-210,,,0.18707099999999999,0.18843199999999999,0.00000000000000000000,0.0000000000000000000,2.634402000000000,2.2875600000000000,2.631014000000000,1.9997259999999999,0.006295000000000000,0.0063810000000000004,0.004889000000000000,0.0008229999999999999,10888.713556999999,12065.512401000000,0.04353800000000000,0.04432500000000000,0.031060000000000001,0.006252000000000000
