Run Fill AccType nEntries
7938 9509 11 859467
7939 9509 11 34710437
7940 9510 11 98086
7941 9510 11 1696589
7942 9510 11 19673910
7943 9511 11 110488
7944 9511 11 1332005
7945 9511 11 1644308
7946 9512 11 7597
7947 9512 11 2210591
7948 9512 11 236535314
7949 9513 11 94982
7950 9513 11 2633
7952 9513 11 2066733
7953 9514 11 876967
7954 9514 11 165976951
7955 9515 11 26236
7956 9515 11 3679
7957 9515 11 4427355
7958 9516 11 5261465
7959 9517 11 1828349
7960 9517 11 5240044
7961 9517 11 1507278
7962 9517 11 14651544
7963 9517 11 8664377
7964 9517 11 3884950
7965 9518 11 8809
7966 9518 11 952773
7969 9518 11 228040
7970 9518 11 7021556
7971 9518 11 5161707
7972 9518 11 7418100
7973 9518 11 9613475
7974 9518 11 1049728
7975 9518 11 1272427
7976 9518 11 14794259
7977 9518 11 8540934
7978 9518 11 7710947
7979 9518 11 6201321
7980 9519 11 16065
7981 9519 11 156063
7982 9519 11 191738
7983 9519 11 100982
7984 9519 11 411498
7985 9519 11 12379
7986 9519 11 68025
7987 9519 11 41649
7988 9519 11 144877
7989 9519 11 5325806
7990 9519 11 1118454
7991 9519 11 2344395
7992 9519 11 700661
7993 9519 11 3775316
7994 9519 11 7350340
7995 9519 11 1642105
7996 9520 11 31347
7997 9520 11 1407766
7998 9520 11 4130682
7999 9521 11 65053
8000 9521 11 259159
8001 9521 11 104493
8002 9521 11 1455220
8003 9521 11 34348666
8004 9522 11 47806
8005 9522 11 1036042
8006 9523 11 999052
8007 9523 11 231811690
8008 9524 11 451428
8009 9524 11 332003
8010 9525 11 74095
8011 9525 11 79553
8012 9525 11 436215
8013 9525 11 189067
8014 9525 11 6910308
8015 9525 11 2042795
8016 9525 11 2205729
8017 9525 11 12112409
8018 9525 11 15108283
8019 9525 11 18247948
8020 9525 11 10842301
8021 9525 11 9503022
8022 9525 11 12023270
8023 9525 11 13337411
8024 9525 11 4744996
8025 9525 11 4648565
8026 9525 11 2787
8027 9525 11 39156
8028 9526 11 17563
8029 9526 11 9668
8030 9526 11 16306
8031 9526 11 304044
8032 9526 11 166364
8033 9526 11 91298
8034 9526 11 253105
8035 9526 11 729790
8036 9526 11 219260
8037 9526 11 444376
8038 9526 11 359319
8039 9526 11 219411
8040 9526 11 101615
8041 9526 11 115756
8042 9526 11 62786
8043 9526 11 38778
8044 9526 11 245894
8045 9526 11 91692
8046 9526 11 86175
8047 9526 11 192294
8048 9526 11 54162
8049 9526 11 187723
8050 9526 11 489219
8051 9526 11 1241193
8052 9526 11 285986
8053 9526 11 593055
8054 9527 11 85389
8055 9527 11 347133
8056 9527 11 744912
8057 9527 11 785063
8058 9528 11 136193
8059 9528 11 842970
8060 9529 11 917899
8061 9529 11 184542
8062 9529 11 1243384
8063 9529 11 804570
8064 9529 11 395451
8065 9529 11 152765
8066 9529 11 97372
8067 9529 11 67012
8070 9530 11 69231
8071 9530 11 29509
8072 9530 11 49551
8073 9530 11 120579
8074 9530 11 219991
8075 9530 11 32671
8076 9530 11 107812
8077 9530 11 88868
8078 9530 11 116776
8079 9530 11 193437
8080 9530 11 2368120
8081 9530 11 21188707
8082 9530 11 3285099
8083 9530 11 10561867
8084 9530 11 1749081
8085 9530 11 11564311
8086 9530 11 888936
8087 9530 11 908259
8090 9530 11 494492
8091 9530 11 13352
8092 9530 11 323549
8093 9530 11 153502
8094 9530 11 284062
8095 9530 11 3665
8096 9531 11 95869
8097 9531 11 114025
8098 9531 11 240890
8099 9531 11 1080568
8100 9531 11 3069106
8101 9531 11 317715
8102 9531 11 26645
8103 9533 11 419146
8104 9533 11 321842
8105 9533 11 163607
8106 9533 11 411003
8107 9533 11 102710
8108 9533 11 267248
8109 9533 11 95943
8110 9533 11 251934
8111 9533 11 3254
8112 9533 11 7424
8113 9533 11 96670
8114 9533 11 97872
8115 9533 11 9198
8116 9533 11 15576
8117 9533 11 74659
8118 9533 11 78564
8119 9533 11 15744
8120 9533 11 244837
8121 9533 11 29225
8122 9533 11 19177
8123 9533 11 183612
8124 9533 11 9440
8125 9533 11 152627
8126 9533 11 16747
8129 9533 11 38084
8130 9533 11 11070
8131 9533 11 123794
8132 9533 11 34682
8133 9533 11 98608
8134 9533 11 122776
8135 9533 11 18157
8136 9533 11 120138
8137 9535 11 28839
8138 9535 11 247846
8139 9535 11 65910
8140 9535 11 451297
8141 9535 11 22786
8142 9535 11 64485
8143 9535 11 16880
8144 9535 11 181616
8145 9535 11 135753
8146 9535 11 11414
8147 9535 11 231859
8148 9535 11 84922
8150 9535 11 19465
8151 9535 11 142543
8152 9535 11 183011
8153 9535 11 2184
8154 9535 11 96240
8155 9535 11 41526
8156 9535 11 68012
8157 9535 11 204921
8159 9536 11 7893
8160 9536 11 30570
8161 9536 11 118923
8162 9536 11 248704
8163 9536 11 85283
8164 9536 11 272722
8165 9536 11 8566
8166 9536 11 255881
8167 9536 11 90613
8171 9537 11 4277118
8172 9537 11 3492621
8178 9537 11 2507599
8179 9537 11 985851
8180 9537 11 5006238
8181 9537 11 1057769
8183 9537 11 47355191
8184 9537 11 77576778
8185 9538 11 2419337
8186 9539 11 812514
8187 9539 11 304638
8188 9539 11 417776777
8189 9540 11 2752814
8190 9541 11 3349120
8191 9542 11 1071578
8192 9543 11 1664415
8193 9543 11 328229001
8194 9544 11 2433778
8195 9545 11 1680958
8196 9546 11 61713
8197 9547 11 1289176
8198 9548 11 1167676
8199 9548 11 308035453
8200 9548 11 87692632
8201 9549 11 10904
8202 9549 11 1615140
8203 9549 11 83201069
8204 9549 11 690993
8206 9550 11 1776052
8207 9551 11 907105
8208 9555 11 1412861
8209 9556 11 2424502
8210 9557 11 896618
8211 9557 11 2732518
8212 9558 11 32896
8213 9558 11 1015271
8214 9559 11 931569
8215 9559 11 203049399
8216 9560 11 282130
8217 9560 11 24405472
8218 9561 11 242566
8219 9562 11 93514
8220 9562 11 229864
8221 9562 11 11080
8222 9562 11 1614710
8223 9562 11 173013988
8224 9563 11 201475
8225 9563 11 1107739
8226 9564 11 1167688
8227 9564 11 169862081
8228 9565 11 1801622
8229 9565 11 294397694
8230 9566 11 7398
8231 9566 11 11670
8232 9566 11 3803227
8233 9566 11 204465025
8234 9567 11 40200
8235 9567 11 2706094
8236 9567 11 252914504
8237 9568 11 5062
8238 9568 11 2400656
8239 9568 11 472050586
8240 9569 11 46711
8241 9569 11 2042764
8242 9569 11 156622615
8243 9570 11 58668
8244 9570 11 3523214
8245 9570 11 338883504
8246 9571 11 8471539
8247 9571 11 19856
8248 9571 11 119624
8249 9571 11 7475793
8250 9572 11 628705
8251 9573 11 83544
8252 9573 11 1965186
8253 9573 11 445592059
8254 9574 11 1027104
8255 9574 11 404498904
8256 9575 11 919
8257 9575 11 6580
8258 9575 11 4099239
8259 9575 11 139479635
8260 9576 11 20353
8261 9576 11 852538
8262 9576 11 897251
8263 9576 11 1734815
8264 9577 11 223822
8265 9577 11 5441
8266 9577 11 568235
8267 9577 11 456741
8268 9578 11 1306519
8269 9579 11 952954
8270 9579 11 107510777
8271 9580 11 2812963
8272 9581 11 839417
8273 9581 11 922729
8274 9582 11 18986
8275 9582 11 773196
8276 9582 11 1071759
8277 9583 11 3679
8278 9583 11 6129
8279 9583 11 648744
8280 9583 11 2448649
8281 9584 11 101740
8282 9585 11 5793
8283 9585 11 2395
8284 9585 11 1106675
8285 9585 11 412317779
8286 9586 11 19549
8287 9586 11 640215
8288 9587 11 205241
8289 9588 11 883
8291 9588 11 77368
8292 9589 11 591832
8293 9589 11 3093304
8294 9590 11 936132
8295 9591 11 279090
8296 9592 11 46617
8297 9593 11 657661
8298 9593 11 349137768
8299 9594 11 439696
8300 9594 11 2812
8301 9594 11 1074290
8302 9594 11 395217803
8303 9595 11 19139
8304 9595 11 364643
8305 9596 11 40392
8306 9597 11 36987
8307 9598 11 90326
8308 9599 11 104578
8309 9600 11 193094
8311 9602 11 893579
8312 9602 11 106196277
8313 9603 11 28479
8314 9603 11 6663
8315 9603 11 422756583
8316 9604 11 222404666
8317 9605 11 753389
8318 9605 11 536593
8319 9605 11 358567
8320 9605 11 447761571
8321 9606 11 1909
8322 9606 11 6802
8323 9606 11 449908704
8324 9607 11 45960
8325 9607 11 2065821
8326 9608 11 222041161
8327 9608 11 1590167
8328 9609 11 47703
8329 9609 11 298285666
8330 9610 11 95395
8331 9610 11 435189063
8332 9611 11 27619
8333 9611 11 398513766
8334 9611 11 485351
8335 9612 11 1373762
8336 9612 11 9652119
8337 9613 11 200261
8338 9613 11 777813
8339 9614 11 962553
8340 9614 11 420539093
8341 9615 11 1878
8342 9615 11 6076
8343 9615 11 2780978
8344 9616 11 41047
8345 9617 11 13716
8346 9618 11 11220
8347 9618 11 6333
8348 9618 11 31629
8349 9618 11 6595
8350 9618 11 2826935
8351 9618 11 268135497
8352 9619 11 3044
8353 9619 11 3813
8354 9619 11 602712
8355 9620 16 193474
8356 9621 16 3787806
8357 9622 16 2936211
8358 9623 16 2588
8359 9623 16 3362143
8360 9624 16 920911
8361 9624 16 66086
8362 9625 16 141995
8363 9626 11 428731
8364 9626 11 3662563
8365 9627 16 14457
8366 9627 16 1599394
8367 9628 16 302639
8368 9629 16 386937
8369 9629 16 2277997
8370 9629 16 6519
8371 9629 16 88738
8372 9630 16 233944
8373 9631 16 1992836
8374 9631 16 6670
8375 9632 16 997675
8376 9632 16 113138
8377 9633 16 8032
8378 9633 16 2242750
8379 9633 16 1094308
8380 9634 16 7546
8381 9634 16 6538
8382 9634 16 1193459
8383 9634 16 1107391
8384 9635 16 59527
8385 9635 16 796823
8386 9635 16 2343031
8387 9636 16 10081
8388 9636 16 1143346
8389 9636 11 520836
8390 9637 11 4697
8391 9637 11 268141
8392 9637 11 797801
8393 9638 11 686202
8394 9639 11 1039341
8395 9639 11 17517613
8396 9640 11 3120
8397 9640 11 2605
8398 9640 11 684877
8399 9641 11 540076
8400 9641 11 741870
8401 9642 11 22843
8402 9642 11 2022251
8403 9643 11 760957
8404 9643 11 1061452
8405 9644 11 9493
8406 9644 11 769267
8407 9644 11 6527574
8408 9645 11 25856
8409 9645 11 2419164
8410 9646 11 482547
8411 9647 11 66217
8412 9647 11 877052
8413 9648 11 466539
8414 9649 11 291928
8415 9649 11 95973
8416 9651 11 205430
8417 9651 11 9680650
8418 9652 11 3349
8419 9652 11 7230
8420 9652 11 1428879
8421 9653 11 640189
8422 9653 11 292534441
8423 9654 11 6712
8424 9654 11 5959
8425 9654 11 1384499
8426 9654 11 224467791
8427 9655 11 3503
