Run,Fill,LumiEosOld,Fill Start,Fill End,Energy [GeV],Filling Scheme,Stable B. time [h],Turnaround time [h],Injection time [h],Ramp time [h],Particle B1,Particle B2,# Bunches B1,# Bunches B2,# Coll. IP 1/5,# Coll. IP 2,# Coll. IP 8,beta* IP 1 [m],beta* IP 5 [m],beta* IP 2 [m],beta* IP 8 [m],Xing Angle IP 1 [urad],Xing Angle IP 5 [urad],Xing Angle IP 2 [urad],Xing Angle IP 8 [urad],Spectrometer IP 2 [urad],Spectrometer IP 8 [urad],Intensity B1 [1e11 ppb],Intensity B2 [1e11 ppb],Bnch Len B1 [ns],Bnch Len B2 [ns],Emittance B1 H [um],Emittance B1 V [um],Emittance B2 H [um],Emittance B2 V [um],ATLAS Peak Lumi [Hz/ub],CMS Peak Lumi [Hz/ub],ALICE Peak Lumi [Hz/ub],LHCb Peak Lumi [Hz/ub],Lumi Lifetime Start [h],Lumi Lifetime End [h],ATLAS Int. Lumi [1/nb],CMS Int. Lumi [1/nb],ALICE Int. Lumi [1/nb],LHCb Int. Lumi [1/nb],scale_x,Flux1_eos,Flux11_eos,Flux3_eos,Flux13_eos,Flux1_st,Flux11_st,Flux3_st,Flux13_st,FluxErr1_eos,FluxErr11_eos,FluxErr3_eos,FluxErr13_eos,FluxErr1_st,FluxErr11_st,FluxErr3_st,FluxErr13_st,nEvents,nTracks1,nTracks1Total,nTracks11,nTracks11Total,nTracks3,nTracks3Total,nTracks13,nTracks13Total,scale
7052,9222.0,0.0290100000000000,1696355378000.0,1696387511000.0,6799.56,50ns_899b_674_771_522_56bpi_19inj_3INDIV_PbPb,4.745,13.393056,1.701667,0.355,PB82,PB82,899.0,899.0,674.0,771.0,522.0,0.5,0.5,0.5,1.5,170.0,170.0,170.0,-135.0,71.28,139.38,0.117308,0.120791,0.00000,0.00000,2.276763,1.93125,3.465104,1.942284,0.0038160000000000,0.003588,0.003996,0.001506,11943.943541,18108.943669,0.034162,0.0306,0.03744,0.0165710000000000,100.0,19443.32527300000,19475.331865000,19147.48444300000,19119.11776800000,16494.376463000001,16521.528649000000,16243.405502000000,16219.341171000000,774.7797470000000,771.3659140000000,792.5594810000000,892.2006040000000,657.2697130000000,654.373653000000,672.3528130000000,756.8814710000000,1067205.0,3916.0,8359.0,4293.0,7922.0,3461.0,7873.0,3447.0,7426.0,100.0
7060,9223.0,0.0250040000000000,1696387511000.0,1696415916000.0,6799.44,50ns_899b_674_771_522_56bpi_19inj_3INDIV_PbPb,3.857778,3.880556,2.646389,0.354722,PB82,PB82,899.0,899.0,674.0,771.0,522.0,0.5,0.5,0.5,1.5,170.0,170.0,170.0,-135.0,71.28,139.38,0.118297,0.117591,0.00000,0.00000,2.443408,2.090446,3.523463,2.066904,0.003691,0.003209,0.003689,0.001343,12075.729697,15320.692483,0.029474,0.025789,0.0312550000000000,0.013351,100.0,17626.09926500000,17606.280682000001,17587.360025000002,17577.16397100000,14952.767222000000,14935.954503999999,14919.90352200000,14911.253892999999,397.0911580000000,397.928855000000,430.5940000000000,572.9671470000000,336.86475799999999,337.57540100000000,365.28625799999998,486.0658190000000,18638299.0,3550.0,7368.0,3881.0,7054.0,3179.0,7069.0,3169.0,6666.0,100.0
7066,9225.0,0.0036800000000000,1696459510000.0,1696472352000.0,6799.44,50ns_227b_170_170_161_56bpi_7inj_3INDIV_PbPb,1.266944,14.539722,1.112778,0.354722,PB82,PB82,227.0,227.0,170.0,170.0,161.0,0.5,0.5,0.5,1.5,170.0,170.0,170.0,-135.0,71.28,139.38,0.124221,0.128118,0.00000,0.00000,2.141741,1.853617,3.474524,1.939514,0.001085,0.001066,0.0010500000000000,0.000608,9528.493918,9528.493918,0.003896,0.003624,0.003742,0.0022470000000000,100.0,18181.72424700000,17906.82353600000,17740.69247500000,17635.625223999999,17175.212361999998,16915.529726000001,16758.595421000002,16659.34452900000,409.6720990000000,404.7795540000000,434.4134190000000,574.9220860000000,386.99329100000000,382.37158899999997,410.3649700000000,543.0952960000000,3521379.0,539.0,1111.0,581.0,1054.0,472.0,1074.0,468.0,988.0,100.0
7071,9226.0,0.0142020000000000,1696472352000.0,1696497058000.0,6799.44,50ns_899b_674_771_522_56bpi_19inj_3INDIV_PbPb,1.636389,2.6475,1.361667,0.354722,PB82,PB82,899.0,899.0,674.0,771.0,522.0,0.5,0.5,0.5,1.5,170.0,170.0,170.0,-135.0,71.28,139.38,0.118188,0.119093,0.00000,0.00000,2.230445,1.897265,3.422265,1.985064,0.003753,0.003638,0.004087,0.001523,9074.198174,9074.198174,0.016983,0.01546,0.01832,0.0074410000000000,100.0,17771.482962999999,18090.5019470000,18048.61902100000,18202.49436700000,14861.24752200000,15128.024363000000,15093.000131000001,15221.677046000001,400.37473799999998,408.88035300000001,441.8953710000000,593.3573640000000,334.8098810000000,341.9226260000000,369.5311470000000,496.1899170000000,12653703.0,2033.0,4318.0,2265.0,4154.0,1853.0,4205.0,1864.0,3998.0,100.0
7078,9231.0,0.0392770000000000,1696516664000.0,1696538721000.0,6799.44,50ns_1123b_1010_1010_320_56bpi_23inj_3INIDV_PbPb,3.904167,9.939167,1.785556,0.355,PB82,PB82,1123.0,1123.0,1010.0,1010.0,320.0,0.5,0.5,0.5,1.5,170.0,170.0,170.0,-135.0,71.28,139.38,0.123739,0.124858,0.00000,0.00000,2.413922,2.069272,3.718734,1.973905,0.005696,0.005551,0.005602,0.00117,11382.027475,14650.861061,0.047317,0.042505,0.045505,0.011133,100.0,17241.936120999999,17275.626477000002,17162.08132900000,17132.10689100000,14312.313875000000,14340.27981400000,14246.027418000000,14221.146015000000,388.4327400000000,390.4521060000000,420.1780050000000,558.4566350000000,322.4331220000000,324.10937200000001,348.78446600000001,463.56781500000000,27088625.0,5455.0,11594.0,5982.0,11013.0,4873.0,11105.0,4852.0,10501.0,100.0
7080,9232.0,0.0610130000000000,1696538721000.0,1696600533000.0,6799.44,50ns_1123b_1010_1010_320_56bpi_23inj_3INIDV_PbPb,11.03,3.068889,1.817222,0.354722,PB82,PB82,1123.0,1123.0,1010.0,1010.0,320.0,0.5,0.5,0.5,1.5,170.0,170.0,170.0,-135.0,71.28,139.38,0.118604,0.120096,0.00000,0.00000,2.315768,1.949844,3.678463,1.985247,0.005376,0.005261,0.005389,0.001119,11791.995597,12516.92826,0.078645,0.065307,0.064155,0.020295,1.0,17369.55816500000,17255.799129999999,17049.6360340000,17010.100774999999,13475.31703000000,13387.062679999999,13227.121186000000,13196.449701000000,391.752135000000,390.40867500000002,417.8806410000000,554.8227680000000,303.9216180000000,302.8793600000000,324.1921330000000,430.4319440000000,48747718.0,853646.0,1813185.0,928171.0,1703828.0,752007.0,1704626.0,748337.0,1610374.0,1.0
7085,9234.0,0.005775000000000,1696602146000.0,1696613910000.0,6799.44,50ns_1240b_1088_1088_398_56bpi_PbPb,0.3158330000000000,6.625556,1.86,0.354722,PB82,PB82,1240.0,1240.0,1088.0,1088.0,398.0,0.5,0.5,0.5,1.5,170.0,170.0,170.0,-135.0,71.28,139.38,0.123577,0.120711,0.00000,0.00000,2.362832,2.001998,3.683917,2.013439,0.006084,0.005896,0.006361,0.000786,,,0.005033,0.004546,0.005873,0.000758,100.0,18530.484864999999,18659.46735800000,18204.35839800000,18275.23122200000,21262.417132999999,21410.415396000000,20888.210143000000,20969.53168200000,417.5018150000000,421.76529799999997,445.7372860000000,595.7502070000000,479.0537210000000,483.9457660000000,511.4519220000000,683.5811090000000,3995341.0,862.0,1747.0,950.0,1673.0,760.0,1675.0,761.0,1593.0,100.0
7090,9235.0,0.0211390000000000,1696613910000.0,1696670845000.0,6799.44,50ns_1240b_1088_1088_398_56bpi_PbPb,1.568333,3.289444,1.881111,0.354722,PB82,PB82,1240.0,1240.0,1088.0,1088.0,398.0,0.5,0.5,0.5,1.5,170.0,170.0,170.0,-135.0,71.28,139.38,0.122364,0.120388,0.00000,0.00000,2.408062,2.045664,3.534078,1.967228,0.005908,0.0056310000000000,0.006105,0.00072,10890.044998,10890.044998,0.025389,0.023264,0.0262320000000000,0.003476,100.0,18399.51399700000,18421.11357400000,18335.65189900000,18100.741397000002,15319.588431000000,15337.572419000000,15266.416316999999,15070.827879000000,414.51663300000001,416.3466940000000,448.9161280000000,590.0356310000000,345.1299970000000,346.6537210000000,373.7713030000000,491.2685760000000,23641953.0,3133.0,6491.0,3433.0,6144.0,2802.0,6135.0,2759.0,5777.0,100.0
7099,9237.0,0.0486630000000000,1696888557000.0,1696921259000.0,6799.56,50ns_1240b_1088_1088_398_56bpi_PbPb,5.175556,75.153056,2.379722,0.354722,PB82,PB82,1240.0,1240.0,1088.0,1088.0,398.0,0.5,0.5,0.5,1.5,170.0,170.0,170.0,-135.0,71.28,139.38,0.11774,0.122072,0.00000,0.00000,2.47438,2.075315,3.608768,1.966503,0.005266,0.0056840000000000,0.006066,0.000588,11777.643243,18283.646612,0.052395,0.051505,0.056953,0.006389,100.0,17230.469599000000,17269.977519000000,17237.62853900000,17281.998240000001,16003.077565000000,16039.771185000000,16009.72654700000,16050.935624000000,388.1730700000000,390.3232020000000,422.02620300000001,563.341564000000,360.5220220000000,362.5189920000000,391.9636680000000,523.2125960000000,34463726.0,6754.0,14100.0,7409.0,13425.0,6064.0,13434.0,6064.0,12614.0,100.0
7106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.0,782.0,232.0,749.0,185.0,753.0,182.0,716.0,100.0
