run,nTracks1,nTracks1Total,nTracks11,nTracks11Total,nTracks3,nTracks3Total,nTracks13,nTracks13Total,scale,remark
7080,1693476,1813185,1591516,1703828,1591462,1704626,1503583,1610374,1,noRestr
7080,1398754,1813185,1392916,1703828,1312084,1704626,1284213,1610374,1,lt80mrad
